301
-1039.9 -nan
-1039.7 -nan
-1039.5 -nan
-1039.3 -nan
-1039.1 -nan
-1038.9 -nan
-1038.7 -nan
-1038.5 -nan
-1038.3 -nan
-1038.1 -nan
-1037.9 -nan
-1037.7 -nan
-1037.5 -nan
-1037.3 -nan
-1037.1 -nan
-1036.9 -nan
-1036.7 -nan
-1036.5 -nan
-1036.3 -nan
-1036.1 -nan
-1035.9 -nan
-1035.7 -nan
-1035.5 -nan
-1035.3 -nan
-1035.1 -nan
-1034.9 -nan
-1034.7 -nan
-1034.5 -nan
-1034.3 -nan
-1034.1 -nan
-1033.9 -nan
-1033.7 -nan
-1033.5 -nan
-1033.3 -nan
-1033.1 -nan
-1032.9 -nan
-1032.7 -nan
-1032.5 -nan
-1032.3 -nan
-1032.1 -nan
-1031.9 -nan
-1031.7 -nan
-1031.5 -nan
-1031.3 -nan
-1031.1 -nan
-1030.9 -nan
-1030.7 -nan
-1030.5 -nan
-1030.3 -nan
-1030.1 -nan
-1029.9 -nan
-1029.7 -nan
-1029.5 -nan
-1029.3 -nan
-1029.1 -nan
-1028.9 -nan
-1028.7 -nan
-1028.5 -nan
-1028.3 -nan
-1028.1 -nan
-1027.9 -nan
-1027.7 -nan
-1027.5 -nan
-1027.3 -nan
-1027.1 -nan
-1026.9 -nan
-1026.7 -nan
-1026.5 -nan
-1026.3 -nan
-1026.1 -nan
-1025.9 -nan
-1025.7 -nan
-1025.5 -nan
-1025.3 -nan
-1025.1 -nan
-1024.9 -nan
-1024.7 -nan
-1024.5 -nan
-1024.3 -nan
-1024.1 -nan
-1023.9 -nan
-1023.7 -nan
-1023.5 -nan
-1023.3 -nan
-1023.1 -nan
-1022.9 -nan
-1022.7 -nan
-1022.5 -nan
-1022.3 -nan
-1022.1 -nan
-1021.9 -nan
-1021.7 -nan
-1021.5 -nan
-1021.3 -nan
-1021.1 -nan
-1020.9 -nan
-1020.7 -nan
-1020.5 -nan
-1020.3 -nan
-1020.1 -nan
-1019.9 -nan
-1019.7 -nan
-1019.5 -nan
-1019.3 -nan
-1019.1 -nan
-1018.9 -nan
-1018.7 -nan
-1018.5 -nan
-1018.3 -nan
-1018.1 -nan
-1017.9 -nan
-1017.7 -nan
-1017.5 -nan
-1017.3 -nan
-1017.1 -nan
-1016.9 -nan
-1016.7 -nan
-1016.5 -nan
-1016.3 -nan
-1016.1 -nan
-1015.9 -nan
-1015.7 -nan
-1015.5 -nan
-1015.3 -nan
-1015.1 -nan
-1014.9 -nan
-1014.7 -nan
-1014.5 -nan
-1014.3 -nan
-1014.1 -nan
-1013.9 -nan
-1013.7 -nan
-1013.5 -nan
-1013.3 -nan
-1013.1 -nan
-1012.9 -nan
-1012.7 -nan
-1012.5 -nan
-1012.3 -nan
-1012.1 -nan
-1011.9 -nan
-1011.7 -nan
-1011.5 -nan
-1011.3 -nan
-1011.1 -nan
-1010.9 -nan
-1010.7 -nan
-1010.5 -nan
-1010.3 -nan
-1010.1 -nan
-1009.9 -nan
-1009.7 -nan
-1009.5 -nan
-1009.3 -nan
-1009.1 -nan
-1008.9 -nan
-1008.7 -nan
-1008.5 -nan
-1008.3 -nan
